,,,,,,,
,field name,BE variable name,field type,default value,description (or logic),comments,
,met_energy_100g,metEnergy100g,varchar,NULL,"Metabolisable Energy
calculated in kCals per 100g, from value mentioned on pack. NULL if not present",,
,manufacturer_name,manufaturerName,varchar,NULL,"Name of manufacturer, only name not address",,
,manufacturer_contact,manufacturerContact,varchar,NULL,"Contact phone number, null if not present",,
,country_of_origin,countryOrigin,varchar,NULL,Country of origin for each pack,,
,date_manufacture,dateManufacture,datetime,NULL,Straight from the pack. NULL if not present,,
,date_expiry,dateExpiry,datetime,NULL,"Straight from the pack or Calculated based on ""best before"" and manufacturing date. NULL if not present",,
,translated_flag,translatedFlag,boolean,FALSE,Mark as TRUE if text is translated from another language on either of the images,,
,confidence,confidence,float,NULL,"Between 0-1, for percentage of confidence in the extraction",,
,,,,,,,
,,,,,,,
Table name:,product (dim),Info bank of all cat food products - Dim table: Maintained by Admins,,,,,Ingredients
,id,id,UUID,primary key,productId,,
,brand,brand,varchar,Required,name of brand,,
,variant_raw,variantRaw,varchar,Required,complete name of the variant as mentioned on pack,,
,variant,variant,varchar,Required,clean & complete name of the variant,,
,lifestage_raw,lifestageRaw,varchar,Required,Lifestage statement as mentioned on the pack,,
,lifestage,lifestage,varchar,Required,"Standardise after processing 
- kitten: or 2-12 months or growth
- adult: or maintainance
- senior: or 7 years +
- medical: eg. urinary/kidney health etc.
- breed: for one specific breed
- unknown: none of the above or non-decipherable",,
,type,type,varchar,Required,"Derive directly from pack or use moisture %: < 20% = Dry food. > 60% use wet food. Mark as treat when mentioned explicitely on pack
- dry
- wet
- creamy treat
- other treat
- unknown",,
,adequacy_raw,adequacyRaw,varchar,Required,"Statement of ""complete/complementary"" nutrition mentioned on the pack",,
,adequacy,adequacy,varchar,Required,"- complete: in case of complete or both complete and balanced
- complementary
- treat
- unknown",,
,texture,texture,varchar,NULL,"Derive from name or what's mentioned on the pack
- Jelly, Broth, Flakes, Dry kibble, Mousse, Paste, Chunks, Gravy etc.",,
,aafco_statement,aafcoStatement,varchar,NULL,raw aafco statement mentioned on the pack,,
,aafco_certified,aafcoCertified,boolean,FALSE,TRUE if it specified that it meets AAFCO standards,,
,other_certifications,otherCertifications,text/array,NULL,Comma separated statements of any regulated terms/certifications mentioned on the pack,,
,claims,claims,text/array,NULL,claims made by the brand on the pack listed in a comma separated string,Add examples for claims here,
,intended_use,intendedUse,text/array,NULL,"Any statements specifying the food serves or is for a special functional, theraputic or medical purpose",,
,ingredients,ingredients,text/array,Required,"comma separated names of ingredients present, in the same order as on pack: ingredient_name or ingredient_name (x) where x is the quantity mentioned eg,. 40%, 600IU",,
,additives,additives,text/array,NULL,"comma separated names of additives present, in the same order as on pack: ingredient_name or ingredient_name (x) where x is the quantity mentioned eg,. 40%, 600IU",,
,guaranteed_analysis,guaranteedAnalysis,json,Required,"json with % for each key in value betweel 0-1, NULL if not present or low confidence
assume crude protein is protein & similar for other nutrients.
{protein: , 
 fat: , 
 fibre: , 
 ash: , 
 moisture: 
}",Are there any more such fields?,
